year,country,dairy_produce,aquatic_produce,fruit_produce,meat_produce,vegetable_produce,all_trade,GDP,avg_GDP,vacc_rate,freight,inflation,Country Code,death_rate,FTA,Asia,Africa,North_America,South_America,Europe,Oceania
2018,Iraq,385625.294,0.0,0.0,0.0,13651.986,399277.27999999997,227367469034.031,5601.46706102705,0.0,18.230138535482045,0.367441488936849,IRQ,0.0,0,1,0,0,0,0,0
2018,Israel,0.0,466644.723,2189200.777,236386.124,125936.833,3018168.457,376691526553.276,42406.8454263606,0.0,8.339345249431993,0.794075660242718,ISR,0.0,0,1,0,0,0,0,0
2018,Israel,0.0,466644.723,2189200.777,236386.124,125936.833,3018168.457,376691526553.276,42406.8454263606,0.0,8.339345249431993,0.794075660242718,ISR,0.0,0,1,0,0,0,0,0
2018,Jamaica,23543652.766,82846.67,0.0,2105937.66,0.0,25732437.096,15730792876.2656,5594.49358737819,0.0,5.948028546533121,3.73663882152163,JAM,0.0,0,0,0,1,0,0,0
2018,Jamaica,23543652.766,82846.67,0.0,2105937.66,0.0,25732437.096,15730792876.2656,5594.49358737819,0.0,5.948028546533121,3.73663882152163,JAM,0.0,0,0,0,1,0,0,0
2018,Jordan,12839256.187,407042.184,0.0,47776003.249,0.0,61022301.62,43370860704.2254,4146.40731063215,0.0,18.842971919497252,4.46231108475481,JOR,0.0,0,1,0,0,0,0,0
2018,Jordan,12839256.187,407042.184,0.0,47776003.249,0.0,61022301.62,43370860704.2254,4146.40731063215,0.0,18.842971919497252,4.46231108475481,JOR,0.0,0,1,0,0,0,0,0
2018,Kenya,456783.724,0.0,0.0,0.0,200979.794,657763.5179999999,92202979985.2863,1845.7834137515,0.0,42.34583641665296,4.6898064677633,KEN,0.0,0,1,0,0,0,0,0
2018,Kenya,456783.724,0.0,0.0,0.0,200979.794,657763.5179999999,92202979985.2863,1845.7834137515,0.0,42.34583641665296,4.6898064677633,KEN,0.0,0,1,0,0,0,0,0
2018,Kuwait,36647289.201,507083.76,2224970.199,12881654.812,3884101.546,56145099.51799999,138202535962.401,32012.1875625902,0.0,16.449838963933583,0.543133148199567,KWT,0.0,0,1,0,0,0,0,0
2018,Kuwait,36647289.201,507083.76,2224970.199,12881654.812,3884101.546,56145099.51799999,138202535962.401,32012.1875625902,0.0,16.449838963933583,0.543133148199567,KWT,0.0,0,1,0,0,0,0,0
2018,Lebanon,3396003.901,209200.643,0.0,6601316.541,0.0,10206521.085,54901519155.5556,9225.84515486901,0.0,7.425492475574911,6.07698907889607,LBN,0.0,0,1,0,0,0,0,0
